orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YDR055W,PST1,"Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1",-0.20,0.03,-0.20,0.01,-0.17,-0.15,32,-0.12,0.105,0.222,0.166,23,0.06
YOR127W,RGA1,"GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth",-0.29,-0.61,-0.10,-0.09,0.15,0.27,6,-0.12,0.315,0.761,0.236,4,-0.19
YPL015C,HST2,Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro,-0.17,-0.07,0.06,-0.11,-0.11,-0.30,2,-0.12,0.116,0.571,0.248,1,-0.30
YER006W,NUG1,"GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus",-0.13,0.02,-0.13,-0.14,-0.20,-0.11,43,-0.12,0.071,0.129,0.160,43,-0.15
YKR010C,TOF2,Nonessential mitochondrial protein of unknown function with sequence similarity to Net1p; identified as a topoisomerase I (Top1p) binding protein; displays synthetic genetic interactions with TOP1 and HPR1,-0.19,-0.54,0.25,0.06,-0.29,0.02,3,-0.12,0.283,0.517,0.304,2,-0.10
YNL139C,THO2,"Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids",-0.20,-0.16,-0.06,0.03,-0.30,-0.02,18,-0.12,0.123,0.188,0.165,22,-0.06
YPL131W,RPL5,Protein component of the large (60S) ribosomal subunit with similarity to E. coli L18 and rat L5 ribosomal proteins; binds 5S rRNA and is required for 60S subunit assembly,-0.08,-0.84,-0.09,-0.16,0.73,-0.25,49,-0.12,0.503,0.698,0.171,10,-0.06
YLR120C,YPS1,"Aspartic protease, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor",-0.17,-0.16,0.15,-0.04,-0.29,-0.19,7,-0.12,0.153,0.333,0.246,5,0.04
YGR084C,MRP13,Mitochondrial ribosomal protein of the small subunit,-0.09,-0.18,-0.24,-0.24,0.09,-0.03,8,-0.12,0.128,0.436,0.163,3,-0.35
YNR040W,YNR040W,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",-0.04,-0.52,-0.10,0.08,0.03,-0.15,2,-0.12,0.216,0.516,0.161,5,-0.10
YOR004W,UTP23,"Essential nucleolar protein that is a component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function",-0.21,-0.52,-0.15,0.07,0.07,0.04,6,-0.12,0.231,0.435,0.161,2,-0.13
YPL058C,PDR12,"Plasma membrane ATP-binding cassette (ABC) transporter, weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity",0.03,0.08,-0.21,-0.02,-0.35,-0.24,6,-0.12,0.171,0.381,0.161,6,-0.21
YJL179W,PFD1,"Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin",-0.09,-0.28,-0.04,-0.12,-0.08,-0.09,15,-0.12,0.084,0.189,0.156,8,-0.04
YGR017W,YGR017W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm,0.00,-0.26,-0.14,-0.27,0.29,-0.32,11,-0.12,0.230,0.558,0.215,5,0.03
YKR016W,AIM28,Protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays decreased frequency of mitochondrial genome loss and severe growth defect in minimal glycerol media,-0.46,-0.63,-0.31,0.14,0.54,0.02,23,-0.12,0.433,0.671,0.215,24,-0.04
YJR144W,MGM101,"Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage",-0.21,-0.18,-0.16,0.06,-0.07,-0.14,21,-0.12,0.099,0.085,0.164,6,-0.05
YOR310C,NOP58,"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA",-0.02,-0.04,-0.13,-0.25,-0.02,-0.24,51,-0.12,0.107,0.126,0.167,25,-0.07
YBR155W,CNS1,"TPR-containing co-chaperone; binds both Hsp82p (Hsp90) and Ssa1p (Hsp70) and stimulates the ATPase activity of SSA1, ts mutants reduce Hsp82p function while over expression suppresses the phenotypes of an HSP82 ts allele and a cpr7 deletion",-0.18,-0.27,-0.04,0.00,-0.10,-0.11,18,-0.12,0.096,0.235,0.160,13,-0.05
YOR112W,CEX1,"Cytoplasmic component of the nuclear aminoacylation-dependent tRNA export pathway; interacts with nuclear pore component Nup116p; copurifies with tRNA export receptors Los1p and Msn5p, as well as eIF-1a and the RAN GTPase Gsp1p",-0.52,-0.04,0.07,-0.21,0.08,-0.10,12,-0.12,0.224,0.530,0.242,14,-0.09
YIL044C,AGE2,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in Trans-Golgi-Network (TGN) transport; contains C2C2H2 cysteine/histidine motif",-0.80,0.50,-0.05,0.24,-0.87,0.26,3,-0.12,0.583,0.888,0.300,6,0.10
YCR052W,RSC6,Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p,-0.16,-0.22,-0.03,-0.12,0.03,-0.21,12,-0.12,0.100,0.049,0.162,6,-0.03
YML007W,YAP1,Basic leucine zipper (bZIP) transcription factor required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; mediates resistance to cadmium,-0.39,-0.32,-0.08,-0.10,0.13,0.05,8,-0.12,0.204,0.360,0.158,4,-0.26
YML010W,SPT5,Protein that forms a complex with Spt4p and mediates both activation and inhibition of transcription elongation; Spt4p-Spt5p complex also plays a role in pre-mRNA processing,-0.08,-0.18,-0.06,-0.10,-0.14,-0.16,25,-0.12,0.046,0.118,0.151,20,-0.05
YCL037C,SRO9,"Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif",-0.21,-0.11,-0.05,-0.15,-0.04,-0.16,46,-0.12,0.067,0.048,0.163,20,-0.10
YAL025C,MAK16,"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus",-0.15,0.22,0.13,-0.16,-0.73,-0.04,4,-0.12,0.336,0.604,0.227,3,0.10
YLR059C,REX2,"RNA exonuclease, required for U4 snRNA maturation; functions redundantly with Rnh70p in 5.8S rRNA maturation, and with Rnh70p and Rex3p in processing of U5 snRNA and RNase P RNA; member of RNase D family of exonucleases",-0.20,-0.08,-0.16,0.02,-0.02,-0.29,3,-0.12,0.117,0.433,0.227,,
YIL027C,KRE27,Protein of unknown function; null mutant shows K1 killer toxin resistance,-0.06,0.22,-0.19,-0.07,-0.74,0.12,3,-0.12,0.336,0.647,0.297,7,0.02
YGL246C,RAI1,"Nuclear protein that binds to and stabilizes the exoribonuclease Rat1p, required for pre-rRNA processing",-0.44,0.08,0.02,0.05,-0.31,-0.12,4,-0.12,0.212,0.485,0.238,7,-0.03
YML062C,MFT1,"Subunit of the THO complex, which is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance",-0.10,-0.39,-0.10,-0.07,0.02,-0.09,8,-0.12,0.139,0.327,0.238,8,-0.01
YOL088C,MPD2,"Member of the protein disulfide isomerase (PDI) family, exhibits chaperone activity; overexpression suppresses the lethality of a pdi1 deletion but does not complement all Pdi1p functions; undergoes oxidation by Ero1p",0.19,-1.05,-0.14,0.28,-0.43,0.43,3,-0.12,0.552,0.870,0.297,11,0.02
YDR406W,PDR15,"Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element",-0.20,-0.18,0.00,-0.01,-0.21,-0.12,37,-0.12,0.095,0.051,0.149,25,-0.01
YGL012W,ERG4,"C-24(28) sterol reductase, catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol",-0.10,0.13,-0.15,-0.14,-0.28,-0.19,18,-0.12,0.137,0.269,0.157,11,-0.07
YJR022W,LSM8,"Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) that is part of spliceosomal U6 snRNP and is also implicated in processing of pre-tRNA, pre-snoRNA, and pre-rRNA",-0.49,0.41,-0.29,-0.25,0.04,-0.14,3,-0.12,0.312,0.676,0.296,3,-0.08
YLR175W,CBF5,"Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2",0.12,-0.13,0.05,-0.32,-0.22,-0.22,25,-0.12,0.172,0.508,0.148,16,-0.10
YLR003C,CMS1,Putative protein of unknown function that may participate in DNA replication; green fluorescent protein (GFP)-fusion protein is localized to the nucleus; YLR003C is not an essential gene,-0.08,-0.32,-0.13,0.02,0.00,-0.22,7,-0.12,0.131,0.257,0.157,4,0.18
YER117W,RPL23B,"Protein component of the large (60S) ribosomal subunit, identical to Rpl23Ap and has similarity to E. coli L14 and rat L23 ribosomal proteins",-0.29,0.21,-0.24,0.01,-0.43,0.01,33,-0.12,0.237,0.481,0.159,12,0.10
YGR184C,UBR1,"Ubiquitin-protein ligase (E3) that interacts with Rad6p/Ubc2p to ubiquitinate substrates of the N-end rule pathway; binds to the Rpn2p, Rpt1p, and Rpt6p proteins of the 19S particle of the 26S proteasome",-0.39,-0.05,-0.36,0.13,-0.13,0.07,7,-0.12,0.218,0.558,0.234,18,0.06
YKL143W,LTV1,"Component of the GSE complex, which is required for proper sorting of amino acid permease Gap1p; required for ribosomal small subunit export from nucleus; required for growth at low temperature",0.07,0.02,-0.43,-0.17,-0.91,0.67,4,-0.12,0.528,0.775,0.234,10,-0.25
YOR357C,SNX3,Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p,-0.09,0.34,-0.90,0.04,-0.41,0.28,5,-0.12,0.467,0.686,0.150,,
YMR075W,RCO1,Essential subunit of the histone deacetylase Rpd3S complex; interacts with Eaf3p,-0.02,-0.09,-0.19,0.07,-0.20,-0.31,8,-0.12,0.135,0.559,0.234,10,0.00
YMR224C,MRE11,"Subunit of a complex with Rad50p and Xrs2p (MRX complex) that functions in repair of DNA double-strand breaks and in telomere stability, exhibits nuclease activity that appears to be required for MRX function; widely conserved",0.16,0.38,-0.08,-0.36,-0.43,-0.41,7,-0.12,0.338,0.600,0.233,4,-0.18
YNL272C,SEC2,"Guanyl-nucleotide exchange factor for the small G-protein Sec4p, located on cytoplasmic vesicles; essential for post-Golgi vesicle transport",-0.01,-0.47,-0.23,-0.09,-0.11,0.15,3,-0.12,0.209,0.666,0.233,6,0.07
YNR054C,ESF2,Essential nucleolar protein involved in pre-18S rRNA processing; binds to RNA and stimulates ATPase activity of Dbp8; involved in assembly of the small subunit (SSU) processome,-0.19,0.04,-0.26,-0.17,-0.09,-0.08,9,-0.12,0.103,0.087,0.152,4,-0.14
YOR272W,YTM1,"Constituent of 66S pre-ribosomal particles, required for maturation of the large ribosomal subunit",-0.04,-0.05,-0.46,-0.01,-0.05,-0.13,15,-0.12,0.170,0.280,0.152,15,-0.11
YGR054W,YGR054W,"Eukaryotic initiation factor (eIF) 2A; associates specifically with both 40S subunits and 80 S ribosomes, and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A",-0.24,-0.23,0.00,-0.10,-0.20,0.02,48,-0.12,0.115,0.087,0.142,38,-0.03
YLR051C,FCF2,Essential nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon,-0.17,0.38,-0.53,-0.16,-0.23,-0.04,5,-0.12,0.295,0.571,0.202,8,-0.27
YPL090C,RPS6A,Protein component of the small (40S) ribosomal subunit; identical to Rps6Bp and has similarity to rat S6 ribosomal protein,-0.31,0.22,-0.10,-0.25,-0.34,0.04,63,-0.13,0.220,0.526,0.152,20,-0.10
YDR392W,SPT3,"Subunit of the SAGA and SAGA-like transcriptional regulatory complexes, interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes, also functions to inhibit transcription at some promoters",-0.55,-0.14,0.16,0.07,-0.08,-0.21,4,-0.13,0.250,0.683,0.290,4,-0.07
YHR215W,PHO12,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; nearly identical to Pho11p; upregulated by phosphate starvation",0.02,-0.05,-0.97,-0.35,-0.36,0.96,2,-0.13,0.635,0.898,0.217,,
YDL101C,DUN1,"Cell-cycle checkpoint serine-threonine kinase required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad55p and Sml1p, and transient G2/M arrest after DNA damage; also regulates postreplicative DNA repair",0.02,-0.43,-0.23,-0.07,-0.09,0.05,7,-0.13,0.178,0.450,0.200,4,0.00
YGL111W,NSA1,"Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis",-0.12,-0.25,-0.12,-0.04,0.15,-0.37,13,-0.13,0.177,0.436,0.145,11,-0.13
YMR131C,RRB1,Essential nuclear protein involved in early steps of ribosome biogenesis; physically interacts with the ribosomal protein Rpl3p,-0.29,0.03,-0.10,-0.23,-0.13,-0.03,17,-0.13,0.120,0.331,0.145,12,-0.03
YDL095W,PMT1,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt2p, can instead interact with Pmt3p in some conditions; target for new antifungals",-0.29,-0.38,-0.14,-0.02,0.17,-0.10,19,-0.13,0.197,0.301,0.149,4,-0.13
YJR059W,PTK2,Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,-0.03,-0.23,0.00,-0.11,0.00,-0.38,5,-0.13,0.152,0.611,0.217,9,-0.25
YNL020C,ARK1,Serine/threonine protein kinase involved in regulation of the cortical actin cytoskeleton; involved in control of endocytosis,-0.72,0.60,-0.26,0.08,-0.11,-0.35,2,-0.13,0.443,0.775,0.289,5,0.05
YJL130C,URA2,"Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP",-0.14,-0.21,-0.12,-0.07,-0.12,-0.10,169,-0.13,0.045,0.009,0.151,110,-0.02
YOL080C,REX4,Putative RNA exonuclease possibly involved in pre-rRNA processing and ribosome assembly,-0.17,-0.11,-0.34,-0.17,0.15,-0.11,6,-0.13,0.161,0.225,0.144,4,-0.10
YNR046W,TRM112,"Subunit of an adoMet-dependent tRNA methyltransferase (MTase) complex (Trm11p-Trm112p), required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNAs; putative zinc binding subunit of other MTase-related proteins",-0.18,-0.19,-0.13,0.01,0.01,-0.27,9,-0.13,0.114,0.111,0.228,15,0.00
YAL030W,SNC1,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins,-0.07,-0.53,0.50,-0.07,-0.13,-0.44,4,-0.13,0.362,0.916,0.289,2,0.04
YJL054W,TIM54,Component of the mitochondrial Tim54p-Tim22p complex involved in insertion of polytopic proteins into the inner membrane,-0.34,-0.21,-0.10,-0.04,-0.07,0.00,26,-0.13,0.129,0.202,0.144,19,-0.07
YLR441C,RPS1A,Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Bp and has similarity to rat S3a ribosomal protein,-0.13,0.02,-0.06,-0.12,-0.29,-0.18,34,-0.13,0.104,0.137,0.150,23,-0.12
YLR150W,STM1,Protein that binds G4 quadruplex and purine motif triplex nucleic acid; acts with Cdc13p to maintain telomere structure; interacts with ribosomes and subtelomeric Y' DNA; multicopy suppressor of tom1 and pop2 mutations,0.01,-0.51,0.06,-0.10,0.06,-0.27,134,-0.13,0.227,0.379,0.150,53,-0.06
YGL236C,MTO1,"Mitochondrial protein, forms a heterodimer complex with Mss1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants",-0.07,-0.34,-0.14,-0.18,0.00,-0.03,6,-0.13,0.123,0.654,0.216,,
YEL042W,GDA1,"Guanosine diphosphatase located in the Golgi, involved in the transport of GDP-mannose into the Golgi lumen by converting GDP to GMP after mannose is transferred its substrate",-0.08,-0.03,0.06,-0.13,-0.14,-0.43,18,-0.13,0.168,0.257,0.147,18,-0.09
YDR334W,SWR1,"Swi2/Snf2-related ATPase that is the structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",-0.18,0.12,-0.46,-0.25,-0.19,0.19,2,-0.13,0.243,0.412,0.287,4,-0.14
YDR119W,VBA4,Protein of unknown function with proposed role as a basic amino acid permease based on phylogeny; GFP-fusion protein localizes to vacuolar membrane; physical interaction with Atg27p suggests a possible role in autophagy; non-essential gene,0.52,-0.70,-1.10,0.07,0.39,0.07,5,-0.13,0.640,0.895,0.226,4,0.03
YKL127W,PGM1,"Phosphoglucomutase, minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism",0.03,-0.07,0.12,-0.05,-0.49,-0.31,15,-0.13,0.227,0.348,0.196,15,0.03
YPL220W,RPL1A,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Bp and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal",0.11,0.23,-0.08,-0.29,-0.49,-0.25,61,-0.13,0.269,0.450,0.147,53,0.10
YHR169W,DBP8,Putative ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 40S ribosomal subunit,-0.26,-0.06,-0.47,0.15,0.08,-0.20,6,-0.13,0.230,0.343,0.224,4,-0.16
YMR016C,SOK2,Nuclear protein that plays a regulatory role in the cyclic AMP (cAMP)-dependent protein kinase (PKA) signal transduction pathway; negatively regulates pseudohyphal differentiation; homologous to several transcription factors,-0.04,-0.35,-0.05,-0.27,0.25,-0.31,13,-0.13,0.227,0.436,0.194,12,0.00
YDL143W,CCT4,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",0.06,0.01,-0.06,-0.48,-0.10,-0.21,14,-0.13,0.197,0.334,0.142,9,-0.08
YGR271C-A,EFG1,Protein of unknown function; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus,-0.20,-0.19,-0.16,-0.03,-0.13,-0.08,8,-0.13,0.067,0.072,0.138,13,-0.14
YPL258C,THI21,"Hydroxymethylpyrimidine phosphate kinase, involved in the last steps in thiamine biosynthesis; member of a gene family with THI20 and THI22; functionally redundant with Thi20p",-0.46,-0.67,-0.24,0.43,-0.05,0.21,5,-0.13,0.413,0.758,0.284,5,0.01
YLR186W,EMG1,Member of the alpha/beta knot fold methyltransferase superfamily; required for maturation of 18S rRNA and for 40S ribosome production; interacts with RNA and with S-adenosylmethionine; associates with spindle/microtubules; forms homodimers,-0.13,0.01,-0.29,-0.20,-0.02,-0.16,14,-0.13,0.114,0.175,0.222,20,-0.12
YDR397C,NCB2,Subunit of a heterodimeric NC2 transcription regulator complex with Bur6p; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta,-0.13,0.03,-0.11,0.04,-0.38,-0.22,3,-0.13,0.158,0.493,0.210,,
YJL125C,GCD14,"Subunit of tRNA (1-methyladenosine) methyltransferase, with Gcd10p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression",-0.05,0.04,-0.06,-0.06,-0.47,-0.17,7,-0.13,0.181,0.239,0.192,8,-0.23
YGL049C,TIF4632,"Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); homologous to Tif4631p",-0.15,-0.23,-0.06,-0.11,-0.08,-0.15,35,-0.13,0.062,0.056,0.131,18,-0.06
YPR037C,ERV2,"Flavin-linked sulfhydryl oxidase localized to the endoplasmic reticulum lumen, involved in disulfide bond formation within the ER",0.10,-0.39,0.19,-0.02,-0.24,-0.42,4,-0.13,0.258,0.572,0.209,5,-0.02
YFL017W-A,SMX2,"Core Sm protein Sm G; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx3p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm G",-0.56,0.19,-0.72,0.47,-0.57,0.40,3,-0.13,0.543,0.759,0.220,,
YLR390W-A,CCW14,"Covalently linked cell wall glycoprotein, present in the inner layer of the cell wall",-0.05,-0.27,-0.38,0.00,0.39,-0.48,10,-0.13,0.316,0.632,0.219,7,-0.01
YKL191W,DPH2,"Protein required, along with Dph1p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); may act in a complex with Dph1p and Kti11p",0.00,0.30,-1.58,-0.02,-0.13,0.64,2,-0.13,0.762,0.868,0.281,2,-0.28
YKL172W,EBP2,"Essential protein required for the maturation of 25S rRNA and 60S ribosomal subunit assembly, localizes to the nucleolus; constituent of 66S pre-ribosomal particles",-0.09,-0.16,-0.02,-0.17,-0.23,-0.12,40,-0.13,0.074,0.024,0.129,10,-0.09
YHR066W,SSF1,"Constituent of 66S pre-ribosomal particles, required for ribosomal large subunit maturation; functionally redundant with Ssf2p; member of the Brix family",-0.26,-0.27,-0.27,0.13,-0.09,-0.04,17,-0.13,0.164,0.181,0.134,,
YBR034C,HMT1,"Nuclear SAM-dependent mono- and asymmetric arginine dimethylating methyltransferase that modifies hnRNPs, including Npl3p and Hrp1p, thus facilitating nuclear export of these proteins; required for viability of npl3 mutants",-0.16,0.18,-0.13,-0.26,-0.41,0.00,11,-0.13,0.202,0.441,0.134,11,-0.08
YKL056C,TMA19,Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress,-0.07,-0.26,-0.09,-0.12,-0.15,-0.10,84,-0.13,0.068,0.012,0.140,36,-0.07
YIR026C,YVH1,"Protein phosphatase involved in vegetative growth at low temperatures, sporulation, and glycogen accumulation; transcription induced by low temperature and nitrogen starvation; member of the dual-specificity family of protein phosphatases",-0.25,-0.47,-0.20,0.24,0.05,-0.16,22,-0.13,0.245,0.463,0.137,11,-0.05
YCR054C,CTR86,Essential protein of unknown function; upstream region contains a Gcn4p responsive site suggesting a possible role in amino acid biosynthesis,-0.22,0.07,-0.03,0.00,-0.40,-0.21,5,-0.13,0.175,0.243,0.218,2,0.00
YGL157W,YGL157W,"Oxidoreductase, catalyzes NADPH-dependent reduction of the bicyclic diketone bicyclo[2.2.2]octane-2,6-dione (BCO2,6D) to the chiral ketoalcohol (1R,4S,6S)-6-hydroxybicyclo[2.2.2]octane-2-one (BCO2one6ol)",-0.04,-0.06,-0.44,-0.13,-0.13,0.01,65,-0.13,0.160,0.293,0.139,42,-0.04
YNL008C,ASI3,Putative integral membrane E3 ubiquitin ligase; acts with Asi1p and Asi2p to ensure the fidelity of SPS-sensor signalling by maintaining the dormant repressed state of gene expression in the absence of inducing signals,-0.07,-0.06,-0.32,-0.01,-0.48,0.16,2,-0.13,0.230,0.553,0.217,,
YDR454C,GUK1,"Guanylate kinase, converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins",-0.13,-0.19,-0.28,-0.01,-0.27,0.09,23,-0.13,0.150,0.301,0.132,13,-0.06
YHR081W,LRP1,Substrate-specific nuclear cofactor for exosome activity in the processing of stable RNAs; required for telomere length maintenance; homolog of mammalian nuclear matrix protein C1D involved in regulation of DNA repair and recombination,-0.21,0.08,-0.14,-0.18,-0.18,-0.17,10,-0.13,0.108,0.239,0.132,9,-0.17
YFR028C,CDC14,"Protein phosphatase required for mitotic exit; located in the nucleolus until liberated by the FEAR and Mitotic Exit Network in anaphase, enabling it to act on key substrates to effect a decrease in CDK/B-cyclin activity and mitotic exit",-0.51,-0.13,-0.94,0.45,0.43,-0.09,4,-0.13,0.540,0.808,0.278,,
YAL011W,SWC3,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",-0.24,-0.29,-0.06,-0.10,-0.18,0.08,4,-0.13,0.134,0.384,0.216,,
YMR212C,EFR3,"Non-essential protein of unknown function; exhibits synthetic lethal genetic interactions with PHO85; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies and is phosphorylated",-0.26,-0.51,-0.27,0.10,0.12,0.02,9,-0.13,0.252,0.436,0.130,12,0.06
YPR032W,SRO7,"Effector of Rab GTPase Sec4p, forms a complex with Sec4p and t-SNARE Sec9p; involved in exocytosis and docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro77p and Drosophila lgl tumor suppressor",-0.27,-0.19,-0.10,-0.05,-0.16,-0.03,9,-0.13,0.090,0.342,0.185,7,-0.05
YML057W,CMP2,"Calcineurin A; one isoform (the other is CNA1) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1",-0.02,-0.43,-0.07,-0.41,0.28,-0.15,19,-0.13,0.264,0.441,0.133,11,0.10
YOR196C,LIP5,"Protein involved in biosynthesis of the coenzyme lipoic acid, has similarity to E. coli lipoic acid synthase",-0.16,-0.12,-0.32,0.10,-0.15,-0.16,6,-0.13,0.135,0.485,0.129,11,-0.03
YAL041W,CDC24,"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing",0.01,0.04,0.20,-0.25,-0.60,-0.19,2,-0.13,0.282,0.623,0.276,7,-0.04
YHL033C,RPL8A,"Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Bp and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits",-0.26,-0.04,-0.05,-0.12,-0.01,-0.33,28,-0.13,0.132,0.192,0.123,10,-0.14
YKL165C,MCD4,Protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes,-0.03,0.11,-0.21,-0.04,-0.41,-0.23,10,-0.13,0.184,0.230,0.213,7,-0.14
YDR054C,CDC34,"Ubiquitin-conjugating enzyme (E2) and catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation",-0.11,-0.32,-0.15,-0.14,0.10,-0.20,10,-0.14,0.137,0.124,0.182,9,-0.18
